"id","tipo_de_barrio","nombre_del_barrio","integrantes_del_hogar","p1","p1_1","p2","p3","p4","p5","p6","p7","p8","p9","p10","p11","p12","p12_1","p12_2","p12_3","p13","p14","p14_1","p14_2","trabaja","p15","p16","p17","p18","p19","p20","p21","p22","p22_1","p23","p24","p24_1","p25","p26","p27","p28","p29","p30","p31","p32","p32_1","p32_2","p32_otros_1","p32_otros_2","p33","p33_1","p33_2","p33_3","p33_4","p33_5","p33_6","p34","p35","p36","p37","p38","p38_1","p38_2","p38_3","p38_4","p38_5","p39","p40","p41","p42","p43","p44","p45","p46","p47","p48","p48_1","p48_2","p48_3","p48_4","p48_5","p49","p50","p51","p51_1","p51_2","p51_3","p51_4","p51_5","p52","p53","p54","p55","p56","p57","p58","p59","p60","p60_1","p61","p61_1","p62","p63","p64","p65","p66","p66_1","p66_2","p67","p67_1","p68","p69","p69_1","p70","p71","p72","p72_1","p72_2","p72_3","p72_4","p72_5","p72_6","p72_7","p73","p73_1","p73_2","p73_3","p73_4","p73_5","p73_6","p73_7","p73_8","p73_9","p74","p75","p76","p77","p77_1","p77_2","p78","p79","fecha_de_entrevista","comuna","total_menores","total_adultos_mayores","q189cod1","q189cod1_etiqueta","q189cod2","q189cod2_etiqueta","p20c_renatep_rama_actividad","p20c_renatep_rama_etiqueta","p20c_renatep_ocupacion","p20c_renatep_ocupacion_etiqueta","q219cod1","q219cod1_etiqueta","q219cod2","q219cod2_etiqueta","p42c_cno","p42c_renatep_rama_actividad","p42_renatep_rama_etiqueta","p42c_renatep_ocupacion","p42c_renatep_ocupacion_etiqueta","hogar_monoparental","p67_tema_curso_grupos"
19460223,"1","9",2,"2","","1",51,"5","1","","","2","","","","4","Jujuy","","","","1","","","1","","1","Comedor","2","1","Cocinera","Cocina","1","","2","","","2","","2","","2","15","7","4","","","","","1","","","","","","","2","","2","2","3","3","2","1","3","2","1","","","","","","","","","","","","","","","","","","","","","","","2","","1","2","2","2","2","1","","","1","","1","2","2","2","","","","","","","","","","2","","","","","","","","","4","4","4","4","1","4","4","4","4","","2","","1","1","","","2","2","2023-06-01","Comuna 08",1,0,"85","SERVICIOS SOCIALES Y DE SALUD","8503","Servicios sociales","3","Servicios Personales y otros Oficios.","5","Asador // Cocinero/a","","","","","","","","","0","","99"
19859642,"1","8",2,"9","","1",32,"6","1","","","2","","","","5","","Bolivia","","1","1","","","1","","1","Taller de costura","1","1","Costurera","Cose ropa","6","","1","2","","2","","2","","2","70","5","4","","","","","1","","","","","","","1","4","1","1","1","3","3","3","1","1","3","","","","","","","","","","","","","","","","","","","","","","","2","","2","2","2","2","2","2","4","","7","","","","3","2","","","","","","","","","","1","2","","","","","","","","4","4","4","4","2","4","4","4","4","","2","","4","1","","","2","2","2023-06-16","Comuna 07",1,0,"17","FABRICACION DE PRODUCTOS TEXTILES","1700","Fabricación de productos textiles","6","Industria Manufacturera.","15","Indumentaria y Textil","","","","","","","","","0","1","99"
19894554,"1","3",3,"1","","1",52,"4","1","","","1","2","","","5","","Paraguay","","1","1","","","1","","1","Geriatrico","4","1","Asistente en geriatrico","Atención a pacientes ayuda a profesionales","1","","1","3","Mixta","2","","2","","2","40","8","4","","","","","1","","","","","","","2","","2","2","3","3","3","2","1","3","4","","","","","","","","","","","","","","","","","","","","","","","2","","1","2","2","2","2","99","","","7","","","","3","2","","","","","","","","","","2","","","","","","","","","4","4","4","4","4","4","4","4","4","","2","","4","1","","","2","2","2023-06-26","Comuna 04",0,0,"85","SERVICIOS SOCIALES Y DE SALUD","8503","Servicios sociales","3","Servicios Personales y otros Oficios.","38","Otros","","","","","","","","","0","","99"
20059526,"3","99",2,"1","","2",59,"3","1","","","2","","","","5","","Bolivia","","1","1","","","1","","3","Textil","3","1","Coser","Manejar la maquina de coser","1","","1","2","","2","","2","","2","35","3","5","","","","","1","","","","","","","1","2","1","1","3","3","3","3","1","2","2","","","","","","","","","","","","","","","","","","","","","","","1","Electricista","1","2","2","2","2","2","1","","7","","","","3","2","","","","","","","","","","1","16","","","","","","","Peluqueria","4","4","4","4","4","1","4","4","4","","2","","4","4","","","2","2","2023-07-06","Comuna 04",1,0,"17","FABRICACION DE PRODUCTOS TEXTILES","1700","Fabricación de productos textiles","6","Industria Manufacturera.","15","Indumentaria y Textil","","","","","","","","","0","","99"
19812780,"1","1",2,"2","","1",63,"5","1","","","2","","","","5","","Bolivia","","1","1","","","1","","1","Cuidado de ancianos","1","1","Cuida ancianos","Cuida ancianos","7","","4","","","","3","2","","2","12","6","4","","","","","1","","","","","","","2","","3","2","2","2","3","1","3","2","1","","","","","","","","","","","","","","","","","","","","","","","2","","2","2","2","2","2","1","","","1","","3","4","3","2","","","","","","","","","","1","12","11","","","","","","","4","4","4","4","4","1","4","4","4","","2","","1","1","","","2","1","2023-06-06","Comuna 08",0,0,"95","SERVICIOS DE HOGARES PRIVADOS QUE CONTRATAN SERVICIO DOMESTICO","9500","Servicios de hogares privados que contratan servicio domestico","1","Servicios Socio Comunitarios","10","Cuidados (niños/as, enfermos/as, personas con discapacidad, ancianos/as)","","","","","","","","","0","","99"
19878640,"1","8",3,"3","","2",38,"6","1","","","2","","","","5","","Bolivia","","1","1","","","1","","1","Comercio","2","1","Vendedor atención al público","Atención al público","1","","1","2","","2","","2","","2","40","6","4","","","","","1","","","","","","","1","3","1","1","3","3","2","2","1","3","1","","","","","","","","","","","","","","","","","","","","","","","2","","3","2","2","1","2","1","","","7","","","","3","2","","","","","","","","","","1","2","","","","","","","","2","4","4","4","4","4","4","4","4","","2","","4","1","","","2","2","2023-06-22","Comuna 07",0,0,"53","COMERCIO AL POR MAYOR, EN COMISION Y AL POR MENOR, EXCEPTO VEHICULOS AUTOMOTORES Y MOTOCICLETAS","5308","Tiendas no especializadas sin predominancia de alimentos y bebidas","2","Comercio Popular y Trabajos en Espacios Públicos","36","Vendedor/a punto fijo","","","","","","","","","0","","99"
20390357,"1","2",3,"1","","1",52,"3","1","","","2","","","","5","","Paraguay","","1","1","","","1","","1","Kiosco","1","1","Vendedora","Vender cervezas","6","","4","","","","3","2","","2","84","7","11","","","X cuenta propia","","1","","","","","","","2","","4","2","1","3","1","1","1","1","1","Empleada domestica en casas particulares","1","Limpiar","1","2","","2","","12","","","","","Herr de limpieza","1","1","1","1","1","1","1","1","2","","1","2","2","2","2","2","2","","7","","","","3","2","","","","","","","","","","2","","","","","","","","","4","4","4","4","4","4","4","4","4","","2","","1","1","","","2","2","2023-07-10","Comuna 01",0,0,"53","COMERCIO AL POR MAYOR, EN COMISION Y AL POR MENOR, EXCEPTO VEHICULOS AUTOMOTORES Y MOTOCICLETAS","5303","Comercio de alimentos, bebidas y tabaco","2","Comercio Popular y Trabajos en Espacios Públicos","36","Vendedor/a punto fijo","95","SERVICIOS DE HOGARES PRIVADOS QUE CONTRATAN SERVICIO DOMESTICO","9500","Servicios de hogares privados que contratan servicio domestico","55.3.1.4 / mucama/empleada doméstica","3","Servicios Personales y otros Oficios.","26","Servicios de Limpieza","","99"
19939963,"1","8",1,"1","","1",39,"4","1","","","2","","","","5","","Bolivia","","1","1","","","1","","1","Servicio  doméstico","1","1","Limpieza","Limpia,plancha, cocina","7","","6","","","2","","2","","2","20hs","8","4","","","","","1","","","","","","","2","","1","1","3","3","2","2","3","3","2","","","","","","","","","","","","","","","","","","","","","","","2","","2","2","1","2","2","2","1","","7","","","","3","2","","","","","","","","","","1","2","11","","","","","","","4","4","4","4","4","4","4","4","4","","2","","4","1","","","2","2","2023-06-28","Comuna 07",2,0,"95","SERVICIOS DE HOGARES PRIVADOS QUE CONTRATAN SERVICIO DOMESTICO","9500","Servicios de hogares privados que contratan servicio domestico","3","Servicios Personales y otros Oficios.","26","Servicios de Limpieza","","","","","","","","","0","1","99"
19887555,"1","3",2,"3","","1",19,"5","2","2","1","","","","","1","","","","","1","","","2","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7","","","","3","2","","","","","","","","","","1","16","","","","","","","Limpieza","4","4","4","4","4","4","1","4","4","","2","","4","1","","","2","2","2023-06-22","Comuna 04",3,0,"","","","","","","","","","","","","","","","","0","2","99"
19991318,"1","4",2,"1","","2",42,"6","1","","","2","","","","5","","Bolivia","","1","1","","","1","","1","Almacen","1","1","dueño","encargado, venta al publico","6","","4","","","","3","2","","2","84","4","11","","","cuenta propia. solo","","1","","","","","","","1","1","1","1","2","3","3","3","99","2","1","construcción","2","albañil","1","2","","2","","3","","","","","","2","2","3","2","1","3","1","1","1","albañil y costurero","3","2","1","2","1","1","","","7","","","","3","2","","","","","","","","","","1","2","3","","","","","","","4","4","4","4","2","4","4","4","4","","2","","4","1","","","2","2","2023-06-27","Comuna 08",2,0,"53","COMERCIO AL POR MAYOR, EN COMISION Y AL POR MENOR, EXCEPTO VEHICULOS AUTOMOTORES Y MOTOCICLETAS","5303","Comercio de alimentos, bebidas y tabaco","2","Comercio Popular y Trabajos en Espacios Públicos","36","Vendedor/a punto fijo","45","CONSTRUCCION","4500","Construcción","72.1.1.3 / albañil (oficial, medio oficial)","5","Construcción e Infraestructura Social y Mejoramiento Ambiental.","2","Albañil // Durlero","","99"
