"id","tipo_de_barrio","nombre_del_barrio","integrantes_del_hogar","p1","p1_1","p2","p3","p4","p5","p6","p7","p8","p9","p10","p11","p12","p12_1","p12_2","p12_3","p13","p14","p14_1","p14_2","trabaja","p15","p16","p17","p18","p19","p20","p21","p22","p22_1","p23","p24","p24_1","p25","p26","p27","p28","p29","p30","p31","p32","p32_1","p32_2","p32_otros_1","p32_otros_2","p33","p33_1","p33_2","p33_3","p33_4","p33_5","p33_6","p34","p35","p36","p37","p38","p38_1","p38_2","p38_3","p38_4","p38_5","p39","p40","p41","p42","p43","p44","p45","p46","p47","p48","p48_1","p48_2","p48_3","p48_4","p48_5","p49","p50","p51","p51_1","p51_2","p51_3","p51_4","p51_5","p52","p53","p54","p55","p56","p57","p58","p59","p60","p60_1","p61","p61_1","p62","p63","p64","p65","p66","p66_1","p66_2","p67","p67_1","p68","p69","p69_1","p70","p71","p72","p72_1","p72_2","p72_3","p72_4","p72_5","p72_6","p72_7","p73","p73_1","p73_2","p73_3","p73_4","p73_5","p73_6","p73_7","p73_8","p73_9","p74","p75","p76","p77","p77_1","p77_2","p78","p79","fecha_de_entrevista","comuna","total_menores","total_adultos_mayores","q189cod1","q189cod1_etiqueta","q189cod2","q189cod2_etiqueta","p20c_renatep_rama_actividad","p20c_renatep_rama_etiqueta","p20c_renatep_ocupacion","p20c_renatep_ocupacion_etiqueta","q219cod1","q219cod1_etiqueta","q219cod2","q219cod2_etiqueta","p42c_cno","p42c_renatep_rama_actividad","p42_renatep_rama_etiqueta","p42c_renatep_ocupacion","p42c_renatep_ocupacion_etiqueta","hogar_monoparental","p67_tema_curso_grupos"
19460223,1,9,2,2,"",1,51,5,1,,,2,,,,4,"jujuy","","",,1,"","",1,,1,"comedor",2,1,"cocinera","cocina",1,"",2,,"",2,,2,,2,"15",7,4,,,"","",1,,,,,,"",2,,2,2,3,3,2,1,3,2,1,"",,"",,,,,,,,,,,"",,,,,,,,,2,"",1,2,2,2,2,1,,"",1,"",1,2,2,2,,"","",,"",,,"",,2,,,,,,,,"",4,4,4,4,1,4,4,4,4,"",2,"",1,1,"","",2,2,"2023-06-01","comuna 08",1,0,85,"servicios sociales y de salud",8503,"servicios sociales",3,"servicios personales y otros oficios.",5,"asador // cocinero/a",,"",,"","",,"",,"0",,99
19859642,1,8,2,9,"",1,32,6,1,,,2,,,,5,"","bolivia","",1,1,"","",1,,1,"taller de costura",1,1,"costurera","cose ropa",6,"",1,2,"",2,,2,,2,"70",5,4,,,"","",1,,,,,,"",1,4,1,1,1,3,3,3,1,1,3,"",,"",,,,,,,,,,,"",,,,,,,,,2,"",2,2,2,2,2,2,4,"",7,"",,,3,2,,"","",,"",,,"",,1,2,,,,,,,"",4,4,4,4,2,4,4,4,4,"",2,"",4,1,"","",2,2,"2023-06-16","comuna 07",1,0,17,"fabricacion de productos textiles",1700,"fabricacion de productos textiles",6,"industria manufacturera.",15,"indumentaria y textil",,"",,"","",,"",,"0",1,99
19894554,1,3,3,1,"",1,52,4,1,,,1,2,,,5,"","paraguay","",1,1,"","",1,,1,"geriatrico",4,1,"asistente en geriatrico","atencion a pacientes ayuda a profesionales",1,"",1,3,"mixta",2,,2,,2,"40",8,4,,,"","",1,,,,,,"",2,,2,2,3,3,3,2,1,3,4,"",,"",,,,,,,,,,,"",,,,,,,,,2,"",1,2,2,2,2,99,,"",7,"",,,3,2,,"","",,"",,,"",,2,,,,,,,,"",4,4,4,4,4,4,4,4,4,"",2,"",4,1,"","",2,2,"2023-06-26","comuna 04",0,0,85,"servicios sociales y de salud",8503,"servicios sociales",3,"servicios personales y otros oficios.",38,"otros",,"",,"","",,"",,"0",,99
20059526,3,99,2,1,"",2,59,3,1,,,2,,,,5,"","bolivia","",1,1,"","",1,,3,"textil",3,1,"coser","manejar la maquina de coser",1,"",1,2,"",2,,2,,2,"35",3,5,,,"","",1,,,,,,"",1,2,1,1,3,3,3,3,1,2,2,"",,"",,,,,,,,,,,"",,,,,,,,,1,"electricista",1,2,2,2,2,2,1,"",7,"",,,3,2,,"","",,"",,,"",,1,16,,,,,,,"peluqueria",4,4,4,4,4,1,4,4,4,"",2,"",4,4,"","",2,2,"2023-07-06","comuna 04",1,0,17,"fabricacion de productos textiles",1700,"fabricacion de productos textiles",6,"industria manufacturera.",15,"indumentaria y textil",,"",,"","",,"",,"0",,99
19812780,1,1,2,2,"",1,63,5,1,,,2,,,,5,"","bolivia","",1,1,"","",1,,1,"cuidado de ancianos",1,1,"cuida ancianos","cuida ancianos",7,"",4,,"",,3,2,,2,"12",6,4,,,"","",1,,,,,,"",2,,3,2,2,2,3,1,3,2,1,"",,"",,,,,,,,,,,"",,,,,,,,,2,"",2,2,2,2,2,1,,"",1,"",3,4,3,2,,"","",,"",,,"",,1,12,11,,,,,,"",4,4,4,4,4,1,4,4,4,"",2,"",1,1,"","",2,1,"2023-06-06","comuna 08",0,0,95,"servicios de hogares privados que contratan servicio domestico",9500,"servicios de hogares privados que contratan servicio domestico",1,"servicios socio comunitarios",10,"cuidados (niños/as, enfermos/as, personas con discapacidad, ancianos/as)",,"",,"","",,"",,"0",,99
19878640,1,8,3,3,"",2,38,6,1,,,2,,,,5,"","bolivia","",1,1,"","",1,,1,"comercio",2,1,"vendedor atencion al publico","atencion al publico",1,"",1,2,"",2,,2,,2,"40",6,4,,,"","",1,,,,,,"",1,3,1,1,3,3,2,2,1,3,1,"",,"",,,,,,,,,,,"",,,,,,,,,2,"",3,2,2,1,2,1,,"",7,"",,,3,2,,"","",,"",,,"",,1,2,,,,,,,"",2,4,4,4,4,4,4,4,4,"",2,"",4,1,"","",2,2,"2023-06-22","comuna 07",0,0,53,"comercio al por mayor, en comision y al por menor, excepto vehiculos automotores y motocicletas",5308,"tiendas no especializadas sin predominancia de alimentos y bebidas",2,"comercio popular y trabajos en espacios publicos",36,"vendedor/a punto fijo",,"",,"","",,"",,"0",,99
20390357,1,2,3,1,"",1,52,3,1,,,2,,,,5,"","paraguay","",1,1,"","",1,,1,"kiosco",1,1,"vendedora","vender cervezas",6,"",4,,"",,3,2,,2,"84",7,11,,,"x cuenta propia","",1,,,,,,"",2,,4,2,1,3,1,1,1,1,1,"empleada domestica en casas particulares",1,"limpiar",1,2,,2,,12,,,,,"herr de limpieza",1,1,1,1,1,1,1,1,2,"",1,2,2,2,2,2,2,"",7,"",,,3,2,,"","",,"",,,"",,2,,,,,,,,"",4,4,4,4,4,4,4,4,4,"",2,"",1,1,"","",2,2,"2023-07-10","comuna 01",0,0,53,"comercio al por mayor, en comision y al por menor, excepto vehiculos automotores y motocicletas",5303,"comercio de alimentos, bebidas y tabaco",2,"comercio popular y trabajos en espacios publicos",36,"vendedor/a punto fijo",95,"servicios de hogares privados que contratan servicio domestico",9500,"servicios de hogares privados que contratan servicio domestico","55.3.1.4 / mucama/empleada domestica",3,"servicios personales y otros oficios.",26,"servicios de limpieza",,99
19939963,1,8,1,1,"",1,39,4,1,,,2,,,,5,"","bolivia","",1,1,"","",1,,1,"servicio  domestico",1,1,"limpieza","limpia,plancha, cocina",7,"",6,,"",2,,2,,2,"20hs",8,4,,,"","",1,,,,,,"",2,,1,1,3,3,2,2,3,3,2,"",,"",,,,,,,,,,,"",,,,,,,,,2,"",2,2,1,2,2,2,1,"",7,"",,,3,2,,"","",,"",,,"",,1,2,11,,,,,,"",4,4,4,4,4,4,4,4,4,"",2,"",4,1,"","",2,2,"2023-06-28","comuna 07",2,0,95,"servicios de hogares privados que contratan servicio domestico",9500,"servicios de hogares privados que contratan servicio domestico",3,"servicios personales y otros oficios.",26,"servicios de limpieza",,"",,"","",,"",,"0",1,99
19887555,1,3,2,3,"",1,19,5,2,2,1,,,,,1,"","","",,1,"","",2,2,,"",,,"","",,"",,,"",,,,,,"",,,,,"","",,,,,,,"",,,,,,,,,,,,"",,"",,,,,,,,,,,"",,,,,,,,,,"",,,,,,,,"",7,"",,,3,2,,"","",,"",,,"",,1,16,,,,,,,"limpieza",4,4,4,4,4,4,1,4,4,"",2,"",4,1,"","",2,2,"2023-06-22","comuna 04",3,0,,"",,"",,"",,"",,"",,"","",,"",,"0",2,99
19991318,1,4,2,1,"",2,42,6,1,,,2,,,,5,"","bolivia","",1,1,"","",1,,1,"almacen",1,1,"dueño","encargado, venta al publico",6,"",4,,"",,3,2,,2,"84",4,11,,,"cuenta propia. solo","",1,,,,,,"",1,1,1,1,2,3,3,3,99,2,1,"construccion",2,"albañil",1,2,,2,,3,,,,,"",2,2,3,2,1,3,1,1,1,"albañil y costurero",3,2,1,2,1,1,,"",7,"",,,3,2,,"","",,"",,,"",,1,2,3,,,,,,"",4,4,4,4,2,4,4,4,4,"",2,"",4,1,"","",2,2,"2023-06-27","comuna 08",2,0,53,"comercio al por mayor, en comision y al por menor, excepto vehiculos automotores y motocicletas",5303,"comercio de alimentos, bebidas y tabaco",2,"comercio popular y trabajos en espacios publicos",36,"vendedor/a punto fijo",45,"construccion",4500,"construccion","72.1.1.3 / albañil (oficial, medio oficial)",5,"construccion e infraestructura social y mejoramiento ambiental.",2,"albañil // durlero",,99
